nest,site,trt,layorder,removed,year,date,clutch_size,tray_entered,supp_days,num_supp_day,time,length,width,mass
C19B,U,C,2,N,2022,6/23/2022,6,,,,14:05,16.80,12.95,1.47
C19B,U,C,3,N,2022,6/23/2022,6,,,,14:05,16.67,13.00,1.48
C19B,U,C,4,N,2022,6/23/2022,6,,,,14:05,16.93,13.00,1.48
C19B,U,C,5,N,2022,6/23/2022,6,,,,14:05,16.80,12.95,1.50
C19B,U,C,6,Y,2022,6/24/2022,6,,,,8:43,16.67,13.15,1.51
M1,N,C,1,Y,2020,5/11/20,7,,,,13:10,16.65,12.05,1.27
M1,N,C,2,N,2020,5/12/20,7,,,,11:21,16.25,12.10,1.31
M1,N,C,3,Y,2020,5/13/20,7,,,,13:14,16.75,12.57,1.43
M1,N,C,4,Y,2020,5/14/20,7,,,,13:28,16.90,12.55,1.42
M1,N,C,5,N,2020,5/15/20,7,,,,12:19,16.40,12.50,1.37
M1,N,C,6,N,2020,5/16/20,7,,,,12:43,17.00,12.55,1.43
M12,N,T,1,N,2020,5/15/20,7,5/6/20,10,10,11:57,17.07,12.60,1.53
M12,N,T,2,Y,2020,5/16/20,7,5/6/20,11,10,12:22,16.70,12.50,1.45
M12,N,T,3,N,2020,5/17/20,7,5/6/20,12,10,9:37,16.70,12.63,1.48
M12,N,T,4,Y,2020,5/18/20,7,5/6/20,13,10,10:32,17.00,12.85,1.49
M12,N,T,5,N,2020,5/19/20,7,5/6/20,14,10,10:31,16.83,13.10,1.52
M12,N,T,6,Y,2020,5/20/20,7,5/6/20,15,10,12:14,17.00,13.30,1.55
M14,N,T,1,N,2020,5/8/20,7,5/5/20,4,4,9:10,16.65,13.00,1.49
M14,N,T,2,Y,2020,5/9/20,7,5/5/20,5,4,10:41,16.20,12.97,1.45
M14,N,T,3,N,2020,5/10/20,7,5/5/20,6,4,10:45,16.10,12.57,1.38
M14,N,T,4,Y,2020,5/11/20,7,5/5/20,7,4,12:50,16.90,12.80,1.49
M14,N,T,5,N,2020,5/12/20,7,5/5/20,8,4,10:56,16.70,13.00,1.50
M14,N,T,6,Y,2020,5/13/20,7,5/5/20,9,4,12:39,17.55,12.77,1.49
M15-20,N,C,1,N,2020,5/5/20,7,,,,13:10,16.91,12.19,1.33
M15-20,N,C,2,Y,2020,5/6/20,7,,,,10:26,16.80,12.28,1.34
M15-20,N,C,3,N,2020,5/7/20,7,,,,13:01,17.35,12.50,1.42
M15-20,N,C,4,Y,2020,5/8/20,7,,,,9:07,17.33,12.50,1.42
M15-20,N,C,5,N,2020,5/9/20,7,,,,10:38,17.07,12.55,1.45
M15-20,N,C,6,Y,2020,5/10/20,7,,,,10:39,17.20,12.50,1.44
M18,N,C,1,Y,2020,5/4/20,7,,,,10:36,16.58,12.90,1.46
M18,N,C,2,N,2020,5/5/20,7,,,,13:03,16.18,12.57,1.36
M18,N,C,3,Y,2020,5/6/20,7,,,,10:21,16.27,12.76,1.37
M18,N,C,4,N,2020,5/7/20,7,,,,12:57,15.80,12.70,1.33
M18,N,C,5,Y,2020,5/8/20,7,,,,9:01,16.37,12.80,1.40
M18,N,C,6,N,2020,5/9/20,7,,,,10:35,15.95,12.80,1.37
M24-20,N,T,1,Y,2020,5/7/20,7,5/6/20,2,2,13:30,17.75,12.75,1.56
M24-20,N,T,2,N,2020,5/8/20,7,5/6/20,3,2,9:39,17.15,12.95,1.48
M24-20,N,T,3,Y,2020,5/9/20,7,5/6/20,4,2,11:10,17.00,12.85,1.45
M24-20,N,T,4,N,2020,5/10/20,7,5/6/20,5,2,11:28,17.10,12.90,1.54
M24-20,N,T,5,Y,2020,5/11/20,7,5/6/20,6,2,13:41,16.90,12.95,1.47
M24-20,N,T,6,N,2020,5/12/20,7,5/6/20,7,2,11:33,17.23,12.80,1.46
M26-20,N,T,1,Y,2020,5/8/20,7,5/6/20,3,3,9:44,16.15,12.90,1.40
M26-20,N,T,2,N,2020,5/9/20,7,5/6/20,4,3,11:16,15.20,12.50,1.23
M26-20,N,T,3,Y,2020,5/10/20,7,5/6/20,5,3,11:35,15.00,12.60,1.29
M26-20,N,T,4,N,2020,5/11/20,7,5/6/20,6,3,13:45,15.10,12.70,1.29
M26-20,N,T,5,Y,2020,5/12/20,7,5/6/20,7,3,11:55,15.13,12.75,1.32
M26-20,N,T,6,N,2020,5/13/20,7,5/6/20,8,3,11:57,15.37,12.80,1.33
M32-20,N,C,1,N,2020,5/12/20,7,,,,11:43,15.23,11.75,1.20
M32-20,N,C,2,Y,2020,5/13/20,7,,,,12:19,15.50,11.97,1.19
M32-20,N,C,3,N,2020,5/14/20,7,,,,12:43,15.65,12.00,1.20
M32-20,N,C,4,Y,2020,5/15/20,7,,,,12:44,15.85,12.10,1.24
M32-20,N,C,5,N,2020,5/16/20,7,,,,13:04,15.95,12.05,1.25
M32-20,N,C,6,Y,2020,5/17/20,7,,,,10:07,15.70,12.15,1.25
M5,N,T,1,N,2020,5/8/20,7,5/6/20,3,3,9:25,16.25,12.47,1.31
M5,N,T,2,Y,2020,5/9/20,7,5/6/20,4,3,10:53,16.55,12.55,1.38
M5,N,T,3,N,2020,5/10/20,7,5/6/20,5,3,11:08,16.13,12.30,1.33
M5,N,T,4,Y,2020,5/12/20,7,5/6/20,6,3,11:09,16.95,13.23,1.60
M5,N,T,5,N,2020,5/13/20,7,5/6/20,7,3,12:58,16.30,13.00,1.50
M5,N,T,6,Y,2020,5/14/20,7,5/6/20,8,3,13:19,16.50,13.15,1.52
M7,N,T,1,Y,2020,5/8/20,7,5/6/20,3,3,9:21,16.45,12.00,1.22
M7,N,T,2,N,2020,5/9/20,7,5/6/20,4,3,10:05,15.95,12.30,1.21
M7,N,T,3,Y,2020,5/10/20,7,5/6/20,5,3,10:58,16.80,12.20,1.34
M7,N,T,4,N,2020,5/11/20,7,5/6/20,6,3,12:57,16.80,12.53,1.38
M7,N,T,5,Y,2020,5/12/20,7,5/6/20,7,3,11:03,16.47,12.45,1.33
M7,N,T,6,N,2020,5/13/20,7,5/6/20,8,3,12:54,16.90,12.55,1.39
M9,N,C,1,N,2020,5/3/20,7,,,,11:36,17.81,12.62,1.52
M9,N,C,2,Y,2020,5/4/20,7,,,,10:53,17.50,12.53,1.41
M9,N,C,3,N,2020,5/5/20,7,,,,13:18,17.21,12.78,1.55
M9,N,C,4,Y,2020,5/6/20,7,,,,10:38,17.11,12.82,1.51
M9,N,C,5,N,2020,5/7/20,7,,,,13:08,17.25,12.90,1.53
M9,N,C,6,Y,2020,5/8/20,7,,,,9:17,17.35,13.50,1.59
A102,R,T,1,N,2020,5/24/20,7,5/12/20,13,13,9:38,16.40,12.30,1.28
A102,R,T,2,Y,2020,5/25/20,7,5/12/20,14,13,9:44,15.80,12.60,1.35
A102,R,T,3,N,2020,5/26/20,7,5/12/20,15,13,10:40,15.65,12.25,1.24
A102,R,T,4,Y,2020,5/27/20,7,5/12/20,16,13,8:38,15.75,12.57,1.30
A102,R,T,5,N,2020,5/28/20,7,5/12/20,17,13,13:06,16.00,12.43,1.35
A102,R,T,6,Y,2020,5/29/20,7,5/12/20,18,13,10:24,15.93,12.60,1.36
A71,R,T,1,Y,2020,5/12/20,7,5/5/23,8,8,10:03,15.77,13.00,1.40
A71,R,T,2,N,2020,5/13/20,7,5/5/23,9,8,10:53,15.50,12.43,1.31
A71,R,T,3,Y,2020,5/14/20,7,5/5/23,10,8,11:20,15.55,12.50,1.31
A71,R,T,4,N,2020,5/15/20,7,5/5/23,11,8,10:07,15.95,12.40,1.32
A71,R,T,5,Y,2020,5/16/20,7,5/5/23,12,8,11:20,15.65,12.45,1.32
A71,R,T,6,Y,2020,5/17/20,7,5/5/23,13,8,8:48,15.10,12.35,1.27
A74,R,C,1,N,2020,5/25/20,7,,,,10:35,15.60,12.45,1.27
A74,R,C,2,Y,2020,5/27/20,7,,,,9:54,16.10,12.57,1.39
A74,R,C,3,N,2020,5/28/20,7,,,,12:22,16.35,12.97,1.44
A74,R,C,4,Y,2020,5/29/20,7,,,,10:11,16.70,12.95,1.50
A74,R,C,5,N,2020,5/30/20,7,,,,10:10,16.40,13.10,1.50
A74,R,C,6,Y,2020,5/31/20,7,,,,9:41,16.55,12.85,1.47
A87,R,C,1,Y,2020,6/13/20,7,,,,9:54,16.00,12.87,1.40
A87,R,C,2,N,2020,6/14/20,7,,,,12:48,16.33,13.03,1.46
A87,R,C,3,Y,2020,6/15/20,7,,,,12:50,16.77,13.00,1.49
A87,R,C,4,N,2020,6/16/20,7,,,,11:06,16.33,12.93,1.41
A87,R,C,5,Y,2020,6/17/20,7,,,,12:36,16.13,12.85,1.40
A87,R,C,6,N,2020,6/18/20,7,,,,11:52,16.30,13.07,1.50
A95,R,T,3,Y,2020,5/10/20,7,5/3/23,8,8,9:44,17.20,12.80,1.56
A95,R,T,4,N,2020,5/11/20,7,5/3/23,9,8,14:37,17.00,12.95,1.53
A95,R,T,5,Y,2020,5/12/20,7,5/3/23,10,8,9:27,16.65,12.85,1.48
A95,R,T,6,N,2020,5/13/20,7,5/3/23,11,8,10:20,17.00,12.97,1.52
C19-20,U,C,1,Y,2020,6/6/20,7,,,,8:27,15.80,12.50,1.42
C19-20,U,C,2,N,2020,6/7/20,7,,,,11:04,16.17,12.60,1.38
C19-20,U,C,3,Y,2020,6/8/20,7,,,,9:29,16.35,12.65,1.39
C19-20,U,C,4,N,2020,6/9/20,7,,,,10:00,16.15,12.50,1.35
C19-20,U,C,5,Y,2020,6/10/20,7,,,,11:56,16.15,12.80,1.41
C19-20,U,C,6,N,2020,6/11/20,7,,,,8:29,16.35,12.70,1.43
C21,U,C,1,N,2020,5/14/20,7,,,,10:02,15.20,12.30,1.22
C21,U,C,2,Y,2020,5/15/20,7,,,,8:54,15.50,12.47,1.28
C21,U,C,3,N,2020,5/16/20,7,,,,9:50,15.50,12.60,1.24
C21,U,C,4,Y,2020,5/17/20,7,,,,10:57,15.80,12.57,1.30
C21,U,C,5,N,2020,5/18/20,7,,,,12:02,16.05,12.76,1.32
C21,U,C,6,Y,2020,5/19/20,7,,,,11:48,16.45,12.70,1.29
C24,U,T,1,Y,2020,5/19/20,7,5/10/20,10,10,11:54,17.17,12.30,1.31
C24,U,T,2,N,2020,5/20/20,7,5/10/20,11,10,10:19,17.20,12.25,1.35
C24,U,T,3,Y,2020,5/21/20,7,5/10/20,12,10,11:00,17.30,12.65,1.43
C24,U,T,4,N,2020,5/22/20,7,5/10/20,13,10,13:53,17.23,12.60,1.40
C24,U,T,5,Y,2020,5/23/20,7,5/10/20,14,10,8:25,17.45,12.30,1.43
C24,U,T,6,N,2020,5/24/20,7,5/10/20,15,10,8:53,17.25,12.55,1.47
C33-20,U,C,1,Y,2020,5/7/20,7,,,,8:24,15.68,12.42,1.27
C33-20,U,C,2,N,2020,5/8/20,7,,,,13:06,15.35,12.30,1.24
C33-20,U,C,3,Y,2020,5/9/20,7,,,,12:52,15.60,12.15,1.23
C33-20,U,C,4,N,2020,5/10/20,7,,,,13:01,15.50,12.20,1.26
C33-20,U,C,5,Y,2020,5/11/20,7,,,,11:20,15.55,12.40,1.27
C33-20,U,C,6,N,2020,5/12/20,7,,,,12:53,16.15,12.45,1.34
C35,U,T,1,N,2020,5/16/20,7,5/6/20,11,11,9:33,17.20,11.90,1.30
C35,U,T,2,Y,2020,5/17/20,7,5/6/20,12,11,10:46,16.80,12.00,1.28
C35,U,T,3,N,2020,5/18/20,7,5/6/20,13,11,11:44,17.03,12.05,1.29
C35,U,T,4,Y,2020,5/19/20,7,5/6/20,14,11,11:43,17.15,12.20,1.36
C35,U,T,5,N,2020,5/20/20,7,5/6/20,15,11,10:11,17.50,12.40,1.39
C35,U,T,6,Y,2020,5/21/20,7,5/6/20,16,11,10:29,17.50,12.37,1.40
M16,N,T,1,N,2021,5/20/21,7,5/13/21,8,8,8:29,17.50,12.75,1.53
M16,N,T,2,Y,2021,5/21/21,7,5/13/21,9,8,10:11,18.25,12.70,1.54
M16,N,T,3,N,2021,5/22/21,7,5/13/21,10,8,8:50,17.80,12.85,1.65
M16,N,T,4,Y,2021,5/23/21,7,5/13/21,11,8,8:27,17.85,12.70,1.51
M16,N,T,5,N,2021,5/24/21,7,5/13/21,12,8,10:05,17.85,12.80,1.54
M16,N,T,6,Y,2021,5/25/21,7,5/13/21,13,8,9:32,18.27,13.05,1.63
M17-21,N,C,1,N,2021,5/10/21,7,,,,8:54,17.10,12.90,1.51
M17-21,N,C,2,Y,2021,5/11/21,7,,,,8:56,16.60,13.00,1.48
M17-21,N,C,3,N,2021,5/12/21,7,,,,11:00,16.70,12.90,1.44
M17-21,N,C,4,Y,2021,5/13/21,7,,,,8:33,15.90,12.90,1.42
M17-21,N,C,5,N,2021,5/14/21,7,,,,10:21,16.13,12.95,1.44
