Sample,nest,site,trt,layorder,year,date,time,plate,plate_T4,clutch_size,egg_mass,yolk_mass,cort,test,t4
179,M15-22,N,T,1,2022,5/4/22,12:45,5,3,7,1.5153,0.2908,3.316,3.852,0.826
180,A71,R,T,5,2020,5/16/20,11:20,5,3,7,1.32,0.3148,3.218,4.495,1.412
181,C33-20,U,C,3,2020,5/9/20,12:52,5,3,7,1.23,0.2172,5.709,9.004,2.913
182,A49,R,C,1,2021,5/13/21,9:42,5,3,8,1.3694,0.2593,4.987,9.294,1.706
183,M28,N,C,6,2022,6/11/22,10:52,5,3,6,1.4402,0.3309,2.719,9.501,1.008
184,M20-22,N,T,2,2022,5/3/22,9:02,5,3,7,1.3571,0.2718,5.316,1.478,0.353
185,M8-20,N,T,5,2020,6/21/20,10:30,5,3,5,1.41,0.3516,1.937,3.483,0.432
186,M2,N,C,4,2020,5/13/20,13:07,5,3,6,1.49,0.3161,3.761,3.874,4.73
187,A74,R,C,6,2020,5/31/20,9:41,5,3,7,1.47,0.267,3.625,13.685,1.799
188,M30-21,N,C,6,2021,6/10/21,10:45,5,3,6,1.4594,0.313,2.487,2.731,1.165
189,F5,R,C,2,2020,5/11/20,15:33,5,3,9,1.47,0.2569,4.021,4.209,1.518
190,C19-22,U,T,4,2022,5/16/22,9:11,5,3,8,1.2847,0.3292,2.765,5.326,1.568
191,M3B,N,T,1,2022,6/15/22,10:44,5,3,6,1.4648,0.2896,3.936,3.277,4.606
192,A102,R,T,2,2020,5/25/20,9:44,5,3,7,1.35,0.3016,3.81,7.959,1.681
193,M1,N,C,1,2020,5/11/20,13:10,5,3,7,1.27,0.279,5.061,4.752,3.465
194,M27,N,C,6,2020,6/6/20,11:27,5,3,6,1.39,0.3554,2.493,3.385,0.252
195,M20-20,N,C,3,2020,5/5/20,12:56,5,3,8,1.08,0.2322,6.318,5.428,4.935
196,A87,R,C,5,2020,6/17/20,12:36,5,3,7,1.4,0.2686,4.907,6.601,1.804
197,M1,N,C,4,2020,5/14/20,13:28,5,3,7,1.42,0.2768,4.09,3.164,6.08
198,A98,R,T,6,2020,5/15/20,9:53,5,3,8,1.46,0.2933,4.146,4,1.131
199,M5,N,T,6,2020,5/14/20,13:19,5,4,7,1.52,0.3013,4.275,7.116,6.996
200,M4-21,N,C,1,2021,5/26/21,11:42,5,4,7,1.3299,0.3044,3.025,3.309,5.877
201,M10-20,N,C,3,2020,6/8/20,10:43,5,4,5,1.29,0.2313,5.339,3.446,3.538
202,M22,N,T,4,2020,5/15/20,11:39,5,4,6,1.33,0.2885,6.166,2.821,6.766
203,M35-22,N,T,1,2022,5/28/22,11:27,5,4,6,1.3273,0.2578,5.803,8.679,4.158
204,M22,N,T,5,2020,5/16/20,12:15,5,4,6,1.4,0.2772,5.314,3.435,6.328
205,C23-22,U,T,3,2022,6/26/22,10:39,5,4,4,1.4115,0.3309,3.028,7.516,0.354
206,A69-21,R,T,5,2021,6/8/21,11:13,5,4,7,1.2759,0.2355,3.925,5.773,0.619
207,M17-21,N,C,6,2021,5/15/21,10:56,5,4,7,1.4203,0.3018,4.901,5.493,0.997
